	Contrast	Compound_Name	Concentration	ConcLabel	Viability	Cytotoxicity	Teratogenicity	mEST
Amoxicillin_DoseA	Amoxycillin_DoseA	Amoxycillin	2.00E-04	6	0.9053756	0.0946244	Negative	Negative
Amoxicillin_DoseB	Amoxycillin_DoseB	Amoxycillin	1.00E-04	5	0.977816938	0.022183062	Negative	Negative
Amoxicillin_DoseC	Amoxycillin_DoseC	Amoxycillin	5.00E-05	4	0.912547677	0.087452323	Negative	Negative
Amoxicillin_DoseD	Amoxycillin_DoseD	Amoxycillin	2.50E-05	3	0.906647928	0.093352072	Negative	Negative
Amoxicillin_DoseE	Amoxycillin_DoseE	Amoxycillin	1.25E-05	2	0.975003634	0.024996366	Negative	Negative
Amoxicillin_DoseF	Amoxycillin_DoseF	Amoxycillin	6.25E-06	1	0.870640418	0.129359582	Negative	Negative
Artesunate_DoseA	Artesunate_DoseA	Artesunate	4.00E-06	6	0.174586463	0.825413537	Positive	Negative
Artesunate_DoseB	Artesunate_DoseB	Artesunate	2.00E-06	5	0.36760914	0.63239086	Positive	Negative
Artesunate_DoseC	Artesunate_DoseC	Artesunate	1.00E-06	4	0.640717181	0.359282819	Positive	Negative
Artesunate_DoseD	Artesunate_DoseD	Artesunate	5.00E-07	3	0.818572381	0.181427619	Positive	Negative
Artesunate_DoseE	Artesunate_DoseE	Artesunate	2.50E-07	2	0.874519902	0.125480098	Positive	Negative
Artesunate_DoseF	Artesunate_DoseF	Artesunate	1.25E-07	1	0.911484568	0.088515432	Positive	Negative
Ascorbic.Acid_DoseA	Ascorbic.Acid_DoseA	Ascorbic acid	9.00E-04	6	0.9915589	0.0084411	Negative	Negative
Ascorbic.Acid_DoseB	Ascorbic.Acid_DoseB	Ascorbic acid	0.00045	5	1.059514331	-0.059514331	Negative	Negative
Ascorbic.Acid_DoseC	Ascorbic.Acid_DoseC	Ascorbic acid	0.000225	4	1.019674801	-0.019674801	Negative	Negative
Ascorbic.Acid_DoseD	Ascorbic.Acid_DoseD	Ascorbic acid	0.0001125	3	1.028316201	-0.028316201	Negative	Negative
Ascorbic.Acid_DoseE	Ascorbic.Acid_DoseE	Ascorbic acid	5.63E-05	2	1.028298294	-0.028298294	Negative	Negative
Ascorbic.Acid_DoseF	Ascorbic.Acid_DoseF	Ascorbic acid	2.81E-05	1	0.969217254	0.030782746	Negative	Negative
Bosentan_DoseA	Bosentan_DoseA	Bosentan	0.00015	6	0.786545571	0.213454429	Positive	Negative
Bosentan_DoseB	Bosentan_DoseB	Bosentan	7.50E-05	5	0.90864631	0.09135369	Positive	Negative
Bosentan_DoseC	Bosentan_DoseC	Bosentan	3.75E-05	4	0.982189571	0.017810429	Positive	Negative
Bosentan_DoseD	Bosentan_DoseD	Bosentan	1.88E-05	3	0.98256423	0.01743577	Positive	Negative
Bosentan_DoseE	Bosentan_DoseE	Bosentan	9.38E-06	2	0.978593573	0.021406427	Positive	Negative
Bosentan_DoseF	Bosentan_DoseF	Bosentan	4.69E-06	1	1.029081813	-0.029081813	Positive	Negative
Busulfan_DoseA	Busulfan_DoseA	Busulfan	4.00E-06	6	0.36709522	0.63290478	Positive	Negative
Busulfan_DoseB	Busulfan_DoseB	Busulfan	2.00E-06	5	0.635168909	0.364831091	Positive	Negative
Busulfan_DoseC	Busulfan_DoseC	Busulfan	1.00E-06	4	0.784856448	0.215143552	Positive	Negative
Busulfan_DoseD	Busulfan_DoseD	Busulfan	5.00E-07	3	0.854930156	0.145069844	Positive	Negative
Busulfan_DoseE	Busulfan_DoseE	Busulfan	2.50E-07	2	0.961633159	0.038366841	Positive	Negative
Busulfan_DoseF	Busulfan_DoseF	Busulfan	1.25E-07	1	0.926861512	0.073138488	Positive	Negative
Carbamazepine_DoseA	Carbamazepine_DoseA	Carbamazepine	3.00E-04	6	0.683820389	0.316179611	Positive	Negative
Carbamazepine_DoseB	Carbamazepine_DoseB	Carbamazepine	0.00015	5	0.739736465	0.260263535	Positive	Negative
Carbamazepine_DoseC	Carbamazepine_DoseC	Carbamazepine	7.50E-05	4	0.807355895	0.192644105	Positive	Negative
Carbamazepine_DoseD	Carbamazepine_DoseD	Carbamazepine	3.75E-05	3	0.888919823	0.111080177	Positive	Negative
Carbamazepine_DoseE	Carbamazepine_DoseE	Carbamazepine	1.88E-05	2	0.923028519	0.076971481	Positive	Negative
Carbamazepine_DoseF	Carbamazepine_DoseF	Carbamazepine	9.38E-06	1	0.963233099	0.036766901	Positive	Negative
Cetirizine_DoseA	Cetirizine_DoseA	Cetirizine	6.00E-04	6	0.002405073	0.997594927	Negative	Negative
Cetirizine_DoseB	Cetirizine_DoseB	Cetirizine	3.00E-04	5	0.680753076	0.319246924	Negative	Negative
Cetirizine_DoseC	Cetirizine_DoseC	Cetirizine	0.00015	4	0.952768187	0.047231813	Negative	Negative
Cetirizine_DoseD	Cetirizine_DoseD	Cetirizine	7.50E-05	3	0.879052587	0.120947413	Negative	Negative
Cetirizine_DoseE	Cetirizine_DoseE	Cetirizine	3.75E-05	2	0.920848734	0.079151266	Negative	Negative
Cetirizine_DoseF	Cetirizine_DoseF	Cetirizine	1.88E-05	1	0.946975368	0.053024632	Negative	Negative
Cyclopamine_DoseA	Cyclopamine_DoseA	Cyclopamine	2.00E-05	6	0.923935612	0.076064388	Positive	Positive
Cyclopamine_DoseB	Cyclopamine_DoseB	Cyclopamine	1.00E-05	5	0.944097396	0.055902604	Positive	Positive
Cyclopamine_DoseC	Cyclopamine_DoseC	Cyclopamine	5.00E-06	4	0.959707371	0.040292629	Positive	Positive
Cyclopamine_DoseD	Cyclopamine_DoseD	Cyclopamine	2.50E-06	3	0.958781296	0.041218704	Positive	Positive
Cyclopamine_DoseE	Cyclopamine_DoseE	Cyclopamine	1.25E-06	2	0.965440798	0.034559202	Positive	Positive
Cyclopamine_DoseF	Cyclopamine_DoseF	Cyclopamine	6.25E-07	1	0.966679139	0.033320861	Positive	Positive
Cyproheptadine_DoseA	Cyproheptadine_DoseA	Cyproheptadine	3.00E-05	6	0.596876678	0.403123322	Negative	Positive
Cyproheptadine_DoseB	Cyproheptadine_DoseB	Cyproheptadine	1.50E-05	5	0.734396728	0.265603272	Negative	Positive
Cyproheptadine_DoseC	Cyproheptadine_DoseC	Cyproheptadine	7.50E-06	4	0.761812985	0.238187015	Negative	Positive
Cyproheptadine_DoseD	Cyproheptadine_DoseD	Cyproheptadine	3.75E-06	3	0.849923786	0.150076214	Negative	Positive
Cyproheptadine_DoseE	Cyproheptadine_DoseE	Cyproheptadine	1.88E-06	2	0.935864584	0.064135416	Negative	Positive
Cyproheptadine_DoseF	Cyproheptadine_DoseF	Cyproheptadine	9.38E-07	1	0.963009842	0.036990158	Negative	Positive
Dabrafenib_DoseA	Dabrafenib_DoseA	Dabrafenib	2.00E-06	6	0.154523366	0.845476634	Positive	Negative
Dabrafenib_DoseB	Dabrafenib_DoseB	Dabrafenib	1.00E-06	5	0.402300753	0.597699247	Positive	Negative
Dabrafenib_DoseC	Dabrafenib_DoseC	Dabrafenib	5.00E-07	4	0.75250527	0.24749473	Positive	Negative
Dabrafenib_DoseD	Dabrafenib_DoseD	Dabrafenib	2.50E-07	3	0.861364253	0.138635747	Positive	Negative
Dabrafenib_DoseE	Dabrafenib_DoseE	Dabrafenib	1.25E-07	2	0.911468193	0.088531807	Positive	Negative
Dabrafenib_DoseF	Dabrafenib_DoseF	Dabrafenib	6.25E-08	1	0.968102835	0.031897165	Positive	Negative
DAPT_DoseA	DAPT_DoseA	DAPT	3.00E-06	6	0.512130515	0.487869485	Positive	Positive
